,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Order Customer Id,0.08602061660571658,0.18881374004209617,-0.16605210073988902,-0.07845344102624384,-0.015787486853026406,0.3173732634741802,0.5206345689593002,-0.18019634410844143,-0.046211558248248887,-0.1105482375894167
Order Id,0.07647759683335359,0.12981763881080732,-0.16427510255020858,-0.08487478578481701,-0.027412645244680168,0.5195482323737183,-0.3930974141148563,0.10877433440703582,0.04093001141540582,0.0329168537158923
Order Item Cardprod Id,0.2459655353758403,0.26625477973554246,0.18053006318982756,0.13946534482080528,0.0035478620765973757,-0.03596596155191074,0.008809051022010106,0.05329728302264938,0.003940658180737611,0.1187003763275775
Order Item Discount,0.16562764931881366,-0.17752261449734455,-0.043320054626223535,-0.07910178579683592,-0.0035325425795918203,0.014508542331952217,0.18177238505194218,0.5538967835726878,0.05067536202358407,-0.06431474663388319
Order Item Discount Rate,0.006220503973846271,-0.0156852741890456,-0.0016204047805654096,-0.031668503378369524,-0.0030794132842873983,0.006119855668298446,0.192788437651932,0.7116753223921086,0.07477672043695198,-0.27097338927833764
Order Item Id,0.07409729571857387,0.12446734090667974,-0.16201957108308734,-0.08412536182605894,-0.027240856657471772,0.520186379024729,-0.4001881665783665,0.11059875453406261,0.04160193887218267,0.033105279768306316
Order Item Product Price,0.31055363522103074,-0.13540890621359983,0.020430463323823273,-0.03737855793145372,0.004379366153708404,-0.03518819079634411,-0.05738884757194133,-0.07593854858637239,-0.001755302093491695,-0.19375105111850094
Order Item Profit Ratio,0.008813708535540022,-0.04334652176248943,-0.28699554816939726,0.4727765707328617,-0.00792527405950317,-0.008523477649646739,-0.005411941102165191,0.01649111909851981,0.007751329797128171,-0.05202885036245919
Order Item Quantity,-0.11815798270260564,-0.1160019747717029,-0.09035511547988942,-0.031818375205187197,-0.008312603226977964,0.061557303468712174,0.18713443618803202,0.17658565689145936,-0.009123930911554216,0.6929376290333267
Sales,0.25938700515893254,-0.26431307065612036,-0.0685278461070926,-0.08650147761116297,-0.001361890269188738,0.014967668141840182,0.0564716468845598,0.024809312206831004,-0.008425108449782314,0.22006161446215083
Order Item Total,0.2557330093512171,-0.25900025543402144,-0.06764175257661309,-0.08094829019067597,-0.0008591086064175328,0.0138576541616693,0.02921420207181242,-0.07325280431253264,-0.018486192853372687,0.2541602160678271
Order Profit Per Order,0.045300044818361695,-0.08140285689273218,-0.31327840165999876,0.4886108081587468,-0.009064298131350627,-0.007231900819442693,6.646044156597225e-05,0.006526693974351844,0.005375953851314273,-0.012573654293215261
Order Zipcode,0.0014171423568623324,0.0006578834274336353,-0.00036512726031146794,-0.0026584318722703295,0.0019140306655791887,-9.726262315549814e-05,0.004271225348965773,0.0007726052892636533,0.001843178842599275,-0.0019432787352618426
Product Card Id,0.24596553537584026,0.26625477973554257,0.18053006318982767,0.13946534482080525,0.0035478620765973653,-0.035965961551910786,0.008809051022010147,0.053297283022649355,0.003940658180737597,0.1187003763275775
Product Category Id,0.2439025612496466,0.2823142510238243,0.15668408707681472,0.12757505618997306,0.0014930471740529734,-0.014425852048139839,0.020847075556625776,0.05130780930949307,0.0032327620723099164,0.12359127938804923
Product Price,0.31055363522103074,-0.1354089062135998,0.02043046332382327,-0.03737855793145369,0.0043793661537084375,-0.03518819079634407,-0.057388847571941376,-0.07593854858637232,-0.0017553020934916587,-0.19375105111850113
Product Status,-0.0,1.306772476829779e-35,-2.4192087266807195e-30,8.447755299503367e-32,-6.090626130072791e-31,1.5895388010749426e-29,6.039771252770591e-28,2.267783426043368e-27,2.2899239035578184e-28,-2.3092915481746597e-27
avg_item_price,0.31055363525559415,-0.13540890715420545,0.020430462746736218,-0.037378558340865425,0.00437936614122337,-0.035188190536939924,-0.057388847176484646,-0.07593854830315971,-0.0017553021176915716,-0.19375104979992908
sales_per_item,0.31055363525559415,-0.13540890715420545,0.020430462746736214,-0.03737855834086541,0.004379366141223338,-0.03518819053693993,-0.05738884717648455,-0.07593854830315945,-0.001755302117691549,-0.19375104979992935
total_orders,-0.08476346112942089,-0.23013730971273827,0.38295235013589574,0.21738832294627664,0.010120712411376121,0.2777798861771074,0.05851799435142642,-0.029838394868020365,0.0007798449579423848,-0.05450338979876793
total_sales,-0.05982649535110177,-0.25332808279486574,0.3713937608324329,0.20588543050064784,0.008471789808588663,0.28638640111698144,0.06323030709830678,-0.031449605348694606,0.0003741970025088832,-0.03390463665752268
avg_order_value,0.1850342346982981,-0.18609351262527563,-0.09205117377850727,-0.09786961429519839,-0.004809742722450336,0.05141891384197349,0.033461439174854245,-0.043578124312474514,-0.00794795039029538,0.03461727006572206
total_items,-0.08998295523402383,-0.23317748638138922,0.3677764849750295,0.20962456315671418,0.005936005774401507,0.2801816872019535,0.07901510452020603,-0.01676729784272132,0.000607970642326571,0.004729559371031807
